OBJECTID,Statistical area 2 (SA2) 2023 code,Statistical area 2 (SA2) 2023 name,Statistical area 2 (SA2) 2023 name no macrons,"Subject pop: Census usually resident population, Year: 2013, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2018, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: 2023, Measure: Count, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2013-2018, Measure: Percent, Var1: Census usually resident population (Total)","Subject pop: Census usually resident population, Year: Change 2018-2023, Measure: Percent, Var1: Census usually resident population (Total)",Area square kilometres,Land area square kilometres,Shape__Area,Shape__Length
2132,117500,Glamorgan,Glamorgan,3108,3291,3303,5.9,0.4,0.95918877,0.95918877,959193.6025,4929.30544
2133,117400,Albany West,Albany West,2430,2811,2799,15.7,-0.4,2.05719229,2.05719229,2057131.13,9999.07156
2134,117300,Albany Central,Albany Central,276,525,1593,90.2,203.4,3.20948296,3.20948296,3209629.57,9312.78408
2135,117202,Torbay East,Torbay East,2292,2421,2427,5.6,0.2,0.87169217,0.87169217,871804.2568,5077.846224
2136,117201,Torbay West,Torbay West,2607,2748,2826,5.4,2.8,0.79570493,0.79570493,795931.8203,4284.063143
2137,117100,Waitākere Ranges North,Waitakere Ranges North,1140,1281,1260,12.4,-1.6,86.8052026,86.8052026,86804966.02,61190.17887
2138,117003,Massey Red Hills,Massey Red Hills,126,147,312,16.7,112.2,3.43558985,3.43558985,3435806.296,9383.302285
2139,117002,Whenuapai West,Whenuapai West,420,426,1248,1.4,193,4.2725566,4.2725566,4272362.086,12699.77092
2140,117001,Whenuapai,Whenuapai,3150,3270,5052,3.8,54.5,12.75322594,12.75322594,12752702.83,26571.20974
2141,116900,Fairview Heights,Fairview Heights,2931,3897,4152,33,6.5,1.6090451,1.6090451,1609134.795,5385.969086
2142,116801,Awaruku,Awaruku,3354,3549,3513,5.8,-1,1.28913473,1.28913473,1289082.47,5325.072026
2143,116701,Albany Heights,Albany Heights,2373,3240,4194,36.5,29.4,3.91839853,3.91839853,3918099.641,10613.88851
2144,116601,Pāremoremo East,Paremoremo East,2817,2787,2808,-1.1,0.8,14.37044682,14.37044682,14370360.89,25537.74434
